Study,Trt,Cow,Period,FCM
1,A,1,1,46.62
1,B,1,2,41.53
1,C,1,3,34.61
1,B,2,1,35.57
1,C,2,2,37.85
1,A,2,3,50.46
1,C,3,1,36.43
1,A,3,2,39.64
1,B,3,3,23.16
1,C,4,1,27.38
1,B,4,2,45.91
1,A,4,3,52.37
1,A,5,1,31.59
1,C,5,2,32.95
1,B,5,3,33.97
1,B,6,1,33.07
1,A,6,2,33.07
1,C,6,3,34.72
1,A,7,1,46.5
1,B,7,2,30.44
1,C,7,3,42.99
1,B,8,1,43.01
1,C,8,2,49.34
1,A,8,3,45.15
1,C,9,1,40.76
1,A,9,2,47.05
1,B,9,3,41.26
1,C,10,1,44.82
1,B,10,2,47.89
1,A,10,3,52.31
1,A,11,1,42.93
1,C,11,2,39.28
1,B,11,3,40.34
1,B,12,1,44.98
1,A,12,2,57.37
1,C,12,3,37.11
1,A,13,1,42.54
1,B,13,2,56.48
1,C,13,3,38.06
1,B,14,1,43.66
1,C,14,2,48.02
1,A,14,3,43.61
1,C,15,1,40.31
1,A,15,2,35.46
1,B,15,3,30.88
1,C,16,1,43.73
1,B,16,2,39.1
1,A,16,3,39.7
1,A,17,1,38.62
1,C,17,2,42.13
1,B,17,3,46.49
1,B,18,1,38.19
1,A,18,2,40.55
1,C,18,3,40.55
1,A,19,1,44.4
1,B,19,2,35.01
1,C,19,3,31.73
1,B,20,1,44.89
1,C,20,2,42.42
1,A,20,3,52.64
1,C,21,1,23.63
1,A,21,2,38.56
1,B,21,3,39.7
1,C,22,1,29.27
1,B,22,2,44.04
1,A,22,3,39.31
1,A,23,1,32.32
1,C,23,2,36.17
1,B,23,3,43.02
1,B,24,1,43.8
1,A,24,2,50.58
1,C,24,3,43.71
1,A,25,1,46.71
1,B,25,2,42.46
1,C,25,3,42.22
1,B,26,1,37.55
1,C,26,2,35.9
1,A,26,3,26.97
1,C,27,1,54.76
1,A,27,2,54.16
1,B,27,3,47.62
1,C,28,1,39.86
1,B,28,2,33.12
1,A,28,3,42.1
1,A,29,1,25.23
1,C,29,2,22.8
1,B,29,3,31.72
1,B,30,1,21.32
1,A,30,2,29.49
1,C,30,3,24.77
1,A,31,1,33.96
1,B,31,2,41.13
1,C,31,3,44.26
1,B,32,1,36.47
1,C,32,2,30.61
1,A,32,3,40.69
1,C,33,1,41
1,A,33,2,47.21
1,B,33,3,40.63
1,C,34,1,43.03
1,B,34,2,36.03
1,A,34,3,43.02
1,A,35,1,29.13
1,C,35,2,43.48
1,B,35,3,46.94
1,B,36,1,36.37
1,A,36,2,45.74
1,C,36,3,43.91
1,A,37,1,44.24
1,B,37,2,43.55
1,C,37,3,46.06
1,B,38,1,37.98
1,C,38,2,38.94
1,A,38,3,38.04
1,C,39,1,36.72
1,A,39,2,31.81
1,B,39,3,39.58
1,C,40,1,29.06
1,B,40,2,43.2
1,A,40,3,38.93
1,A,41,1,36.9
1,C,41,2,38.11
1,B,41,3,38.66
1,B,42,1,52.7
1,A,42,2,50.81
1,C,42,3,51.23
1,A,43,1,47.01
1,B,43,2,36.17
1,C,43,3,44.28
1,B,44,1,44.53
1,C,44,2,46.18
1,A,44,3,41.11
1,C,45,1,32.85
1,A,45,2,47.22
1,B,45,3,38.59
1,C,46,1,33.5
1,B,46,2,31.98
1,A,46,3,32.02
1,A,47,1,48.51
1,C,47,2,49.48
1,B,47,3,35.38
1,B,48,1,47.03
1,A,48,2,37.51
1,C,48,3,40.7
1,A,49,1,32.28
1,B,49,2,24.54
1,C,49,3,34.98
1,B,50,1,52.87
1,C,50,2,46.24
1,A,50,3,40.8
1,C,51,1,39.59
1,A,51,2,47.76
1,B,51,3,49.02
1,C,52,1,43.14
1,B,52,2,45.5
1,A,52,3,44.23
1,A,53,1,50.05
1,C,53,2,42.23
1,B,53,3,46.29
1,B,54,1,45.18
1,A,54,2,49.37
1,C,54,3,46.91
2,A,1,1,59.86
2,B,1,2,56.74
2,C,1,3,50.33
2,B,2,1,39.66
2,C,2,2,44.88
2,A,2,3,60.04
2,C,3,1,39.7
2,A,3,2,45.09
2,B,3,3,30.49
2,C,4,1,29.19
2,B,4,2,45.35
2,A,4,3,55.37
2,A,5,1,53.34
2,C,5,2,51.61
2,B,5,3,56.09
2,B,6,1,54.49
2,A,6,2,56.57
2,C,6,3,48.8
2,A,7,1,42.33
2,B,7,2,43.93
2,C,7,3,39.17
2,B,8,1,37.37
2,C,8,2,38.92
2,A,8,3,44.64
2,C,9,1,58.15
2,A,9,2,64.18
2,B,9,3,62
2,C,10,1,35.18
2,B,10,2,39
2,A,10,3,39.15
2,A,11,1,53.38
2,C,11,2,42.77
2,B,11,3,33.71
2,B,12,1,51.29
2,A,12,2,58.91
2,C,12,3,41.32
3,A,1,1,46.63
3,B,1,2,36.86
3,C,1,3,41.22
3,B,2,1,27.76
3,C,2,2,32.92
3,A,2,3,38.18
3,C,3,1,37.75
3,A,3,2,41.75
3,B,3,3,42.26
3,C,4,1,27.09
3,B,4,2,46.61
3,A,4,3,43.53
3,A,5,1,37.9
3,C,5,2,40.97
3,B,5,3,38.05
3,B,6,1,30.55
3,A,6,2,44.38
3,C,6,3,37.07
3,A,7,1,41.52
3,B,7,2,32.88
3,C,7,3,26.36
3,B,8,1,36.22
3,C,8,2,39.2
3,A,8,3,40.21
3,C,9,1,32.79
3,A,9,2,45.82
3,B,9,3,36.87
3,C,10,1,25.7
3,B,10,2,37.76
3,A,10,3,47.04
3,A,11,1,35.52
3,C,11,2,35.84
3,B,11,3,39.83
3,B,12,1,28.76
3,A,12,2,43.65
3,C,12,3,25.23
3,A,13,1,40.44
3,B,13,2,26.87
3,C,13,3,35.49
3,B,14,1,21.42
3,C,14,2,25.06
3,A,14,3,27.9
3,C,15,1,28.71
3,A,15,2,41.5
3,B,15,3,29.28
3,C,16,1,27.6
3,B,16,2,29.16
3,A,16,3,32.49
3,A,17,1,33.87
3,C,17,2,30.56
3,B,17,3,45.49
3,B,18,1,36.85
3,A,18,2,42.3
3,C,18,3,43.8
3,A,19,1,39.02
3,B,19,2,38.4
3,C,19,3,35.18
3,B,20,1,28.59
3,C,20,2,30.46
3,A,20,3,36.68
3,C,21,1,32.45
3,A,21,2,38.9
3,B,21,3,43.19
3,C,22,1,35.79
3,B,22,2,32.85
3,A,22,3,40.87
3,A,23,1,26.82
3,C,23,2,16.89
3,B,23,3,16.76
