Study,Trt,Cow,Xvar,FCM
1,A,1,0.4061865653228522,51
1,A,2,0.4061865653228522,41.54
1,A,3,0.4061865653228522,43.66
1,A,4,0.4061865653228522,45
1,A,5,0.4061865653228522,35.26
1,A,6,0.4061865653228522,49.38
1,A,7,0.4061865653228522,49.36
1,A,8,0.4061865653228522,51.08
1,A,9,0.4061865653228522,37.72
1,A,10,0.4061865653228522,28.44
1,A,11,0.4061865653228522,34.77
1,A,12,0.4061865653228522,44.55
1,A,13,0.4061865653228522,48.13
1,A,14,0.4061865653228522,39.19
1,A,15,0.4061865653228522,38.65
1,A,16,0.4061865653228522,44.2
1,A,17,0.4061865653228522,37.64
1,A,18,0.4061865653228522,40.75
1,A,19,0.4061865653228522,46.41
1,A,20,0.4061865653228522,34.13
1,A,21,0.4061865653228522,42.51
1,A,22,0.4061865653228522,35.66
1,A,23,0.4061865653228522,47.18
1,A,24,0.4061865653228522,28.45
1,A,25,0.4061865653228522,38.3
1,A,26,0.4061865653228522,31.36
1,A,27,0.4061865653228522,44.89
1,A,28,0.4061865653228522,46.36
1,A,29,0.4061865653228522,45.49
1,A,30,0.4061865653228522,41.05
1,A,31,0.4061865653228522,31.54
1,A,32,0.4061865653228522,35.77
1,A,33,0.4061865653228522,47.15
1,A,34,0.4061865653228522,40.7
1,A,35,0.4061865653228522,43.46
1,A,36,0.4061865653228522,34.33
1,B,37,-1.2099080766133912,35.8
1,B,38,-1.2099080766133912,36.4
1,B,39,-1.2099080766133912,38.7
1,B,40,-1.2099080766133912,49.94
1,B,41,-1.2099080766133912,40.46
1,B,42,-1.2099080766133912,41.24
1,B,43,-1.2099080766133912,34.11
1,B,44,-1.2099080766133912,38.24
1,B,45,-1.2099080766133912,45.27
1,B,46,-1.2099080766133912,38.54
1,B,47,-1.2099080766133912,42.75
1,B,48,-1.2099080766133912,42.7
1,B,49,-1.2099080766133912,40.68
1,B,50,-1.2099080766133912,33.16
1,B,51,-1.2099080766133912,39.26
1,B,52,-1.2099080766133912,40.94
1,B,53,-1.2099080766133912,41.2
1,B,54,-1.2099080766133912,45.36
1,B,55,-1.2099080766133912,41.71
1,B,56,-1.2099080766133912,41.15
1,B,57,-1.2099080766133912,26.96
1,B,58,-1.2099080766133912,48.58
1,B,59,-1.2099080766133912,34.39
1,B,60,-1.2099080766133912,48.57
1,B,61,-1.2099080766133912,34.95
1,B,62,-1.2099080766133912,40.48
1,B,63,-1.2099080766133912,33.14
1,B,64,-1.2099080766133912,44.8
1,B,65,-1.2099080766133912,45.86
1,B,66,-1.2099080766133912,44.79
1,B,67,-1.2099080766133912,36.43
1,B,68,-1.2099080766133912,33.18
1,B,69,-1.2099080766133912,41.55
1,B,70,-1.2099080766133912,42.67
1,B,71,-1.2099080766133912,38.42
1,B,72,-1.2099080766133912,38.04
2,A,1,0.3932217475238377,53.7
2,A,2,0.3932217475238377,44.94
2,A,3,0.3932217475238377,38.56
2,A,4,0.3932217475238377,44.24
2,A,5,0.3932217475238377,44.21
2,A,6,0.3932217475238377,43.45
2,A,7,0.3932217475238377,46.38
2,A,8,0.3932217475238377,44.68
2,A,9,0.3932217475238377,42.44
2,A,10,0.3932217475238377,36.29
2,A,11,0.3932217475238377,47.16
2,A,12,0.3932217475238377,40.28
2,A,13,0.3932217475238377,47.18
2,A,14,0.3932217475238377,46.36
2,A,15,0.3932217475238377,35.18
2,A,16,0.3932217475238377,39.69
2,A,17,0.3932217475238377,40.23
2,A,18,0.3932217475238377,42.08
2,A,19,0.3932217475238377,35.15
2,A,20,0.3932217475238377,39.17
2,A,21,0.3932217475238377,40.26
2,A,22,0.3932217475238377,42.63
2,B,23,1.7982322508466506,48.59
2,B,24,1.7982322508466506,34.39
2,B,25,1.7982322508466506,53.01
2,B,26,1.7982322508466506,48.81
2,B,27,1.7982322508466506,46.07
2,B,28,1.7982322508466506,36.46
2,B,29,1.7982322508466506,52.05
2,B,30,1.7982322508466506,48.48
2,B,31,1.7982322508466506,41.99
2,B,32,1.7982322508466506,32.95
2,B,33,1.7982322508466506,38.71
2,B,34,1.7982322508466506,42.34
2,B,35,1.7982322508466506,44.6
2,B,36,1.7982322508466506,32.76
2,B,37,1.7982322508466506,37.52
2,B,38,1.7982322508466506,46.04
2,B,39,1.7982322508466506,47.8
2,B,40,1.7982322508466506,43.51
2,B,41,1.7982322508466506,38.17
2,B,42,1.7982322508466506,42.03
2,B,43,1.7982322508466506,49.24
2,B,44,1.7982322508466506,33.24
3,A,1,0.10955641117140437,42.37
3,A,2,0.10955641117140437,49.34
3,A,3,0.10955641117140437,48.58
3,A,4,0.10955641117140437,49.63
3,A,5,0.10955641117140437,51.86
3,A,6,0.10955641117140437,50.13
3,A,7,0.10955641117140437,47.92
3,A,8,0.10955641117140437,37.35
3,A,9,0.10955641117140437,35.34
3,A,10,0.10955641117140437,38.02
3,A,11,0.10955641117140437,52.03
3,A,12,0.10955641117140437,54.35
3,A,13,0.10955641117140437,44.45
3,A,14,0.10955641117140437,41.87
3,A,15,0.10955641117140437,48.73
3,A,16,0.10955641117140437,48.77
3,A,17,0.10955641117140437,45.66
3,A,18,0.10955641117140437,44.93
3,B,19,-1.5244063006975717,35.29
3,B,20,-1.5244063006975717,47.71
3,B,21,-1.5244063006975717,43.7
3,B,22,-1.5244063006975717,39.44
3,B,23,-1.5244063006975717,46.5
3,B,24,-1.5244063006975717,41.97
3,B,25,-1.5244063006975717,46.12
3,B,26,-1.5244063006975717,48.13
3,B,27,-1.5244063006975717,52.84
3,B,28,-1.5244063006975717,45.26
3,B,29,-1.5244063006975717,41.9
3,B,30,-1.5244063006975717,35.65
3,B,31,-1.5244063006975717,41.42
3,B,32,-1.5244063006975717,58.05
3,B,33,-1.5244063006975717,44.82
3,B,34,-1.5244063006975717,53.72
3,B,35,-1.5244063006975717,47.98
3,B,36,-1.5244063006975717,45.97
4,A,1,-0.4134188533806319,40.05
4,A,2,-0.4134188533806319,41.57
4,A,3,-0.4134188533806319,43.19
4,A,4,-0.4134188533806319,42.78
4,A,5,-0.4134188533806319,47.01
4,A,6,-0.4134188533806319,41.11
4,A,7,-0.4134188533806319,45.24
4,A,8,-0.4134188533806319,54.53
4,A,9,-0.4134188533806319,51.62
4,A,10,-0.4134188533806319,50.52
4,A,11,-0.4134188533806319,34.78
4,A,12,-0.4134188533806319,44.84
4,A,13,-0.4134188533806319,43.6
4,A,14,-0.4134188533806319,47.03
4,A,15,-0.4134188533806319,47.7
4,A,16,-0.4134188533806319,46.18
4,A,17,-0.4134188533806319,46.01
4,A,18,-0.4134188533806319,46.11
4,A,19,-0.4134188533806319,52.71
4,A,20,-0.4134188533806319,50.36
4,A,21,-0.4134188533806319,41.19
4,A,22,-0.4134188533806319,37.12
4,A,23,-0.4134188533806319,37.42
4,A,24,-0.4134188533806319,42.45
4,A,25,-0.4134188533806319,46.71
4,A,26,-0.4134188533806319,46.22
4,A,27,-0.4134188533806319,36.29
4,A,28,-0.4134188533806319,49.23
4,B,29,0.04311444598086066,52.74
4,B,30,0.04311444598086066,49.77
4,B,31,0.04311444598086066,45.31
4,B,32,0.04311444598086066,39.15
4,B,33,0.04311444598086066,44.26
4,B,34,0.04311444598086066,41.56
4,B,35,0.04311444598086066,43.67
4,B,36,0.04311444598086066,53.54
4,B,37,0.04311444598086066,46.61
4,B,38,0.04311444598086066,36.92
4,B,39,0.04311444598086066,40.16
4,B,40,0.04311444598086066,46.35
4,B,41,0.04311444598086066,37.73
4,B,42,0.04311444598086066,42.9
4,B,43,0.04311444598086066,48.93
4,B,44,0.04311444598086066,45.14
4,B,45,0.04311444598086066,44.43
4,B,46,0.04311444598086066,41.12
4,B,47,0.04311444598086066,41.26
4,B,48,0.04311444598086066,37.09
4,B,49,0.04311444598086066,46
4,B,50,0.04311444598086066,47.56
4,B,51,0.04311444598086066,35.05
4,B,52,0.04311444598086066,44.27
4,B,53,0.04311444598086066,47.99
4,B,54,0.04311444598086066,50.1
4,B,55,0.04311444598086066,47.66
4,B,56,0.04311444598086066,46.7
5,A,1,0.1117959092790192,47.76
5,A,2,0.1117959092790192,47.19
5,A,3,0.1117959092790192,43.89
5,A,4,0.1117959092790192,42.51
5,A,5,0.1117959092790192,48.88
5,A,6,0.1117959092790192,42.94
5,A,7,0.1117959092790192,44.31
5,A,8,0.1117959092790192,35.44
5,A,9,0.1117959092790192,35.21
5,A,10,0.1117959092790192,42.8
5,A,11,0.1117959092790192,41.49
5,A,12,0.1117959092790192,38.15
5,A,13,0.1117959092790192,33.21
5,A,14,0.1117959092790192,34.23
5,A,15,0.1117959092790192,43.03
5,A,16,0.1117959092790192,40.88
5,A,17,0.1117959092790192,40.49
5,A,18,0.1117959092790192,41.04
5,A,19,0.1117959092790192,42.42
5,A,20,0.1117959092790192,45.28
5,B,21,0.08420952390956822,41.87
5,B,22,0.08420952390956822,36.48
5,B,23,0.08420952390956822,38.01
5,B,24,0.08420952390956822,41.39
5,B,25,0.08420952390956822,38.08
5,B,26,0.08420952390956822,47.44
5,B,27,0.08420952390956822,44.01
5,B,28,0.08420952390956822,35.3
5,B,29,0.08420952390956822,47.34
5,B,30,0.08420952390956822,44.7
5,B,31,0.08420952390956822,47.15
5,B,32,0.08420952390956822,34.26
5,B,33,0.08420952390956822,42.03
5,B,34,0.08420952390956822,51.59
5,B,35,0.08420952390956822,39.43
5,B,36,0.08420952390956822,52.4
5,B,37,0.08420952390956822,46.67
5,B,38,0.08420952390956822,45.08
5,B,39,0.08420952390956822,41.52
5,B,40,0.08420952390956822,29.72
6,A,1,-2.89232139833262,31.1
6,A,2,-2.89232139833262,46.91
6,A,3,-2.89232139833262,40.36
6,A,4,-2.89232139833262,45.76
6,A,5,-2.89232139833262,38.64
6,A,6,-2.89232139833262,37.43
6,A,7,-2.89232139833262,39.05
6,A,8,-2.89232139833262,37.35
6,A,9,-2.89232139833262,33.71
6,A,10,-2.89232139833262,37.46
6,A,11,-2.89232139833262,38.69
6,A,12,-2.89232139833262,27.61
6,A,13,-2.89232139833262,43.92
6,A,14,-2.89232139833262,36.89
6,A,15,-2.89232139833262,43.83
6,A,16,-2.89232139833262,36.39
6,A,17,-2.89232139833262,36.01
6,A,18,-2.89232139833262,42.49
6,A,19,-2.89232139833262,47.44
6,A,20,-2.89232139833262,49.06
6,A,21,-2.89232139833262,38.23
6,A,22,-2.89232139833262,42.72
6,A,23,-2.89232139833262,43.16
