Study,Trt,Cow,FCM
1,A,1,43.72
1,A,2,37.99
1,A,3,39.66
1,A,4,35.26
1,A,5,44.77
1,A,6,34.26
1,A,7,39.22
1,A,8,39.35
1,A,9,40.2
1,A,10,42.58
1,A,11,39.1
1,A,12,35.44
1,A,13,43.54
1,A,14,34.73
1,A,15,31.04
1,A,16,42.51
1,A,17,36.49
1,A,18,33.12
1,A,19,40.55
1,A,20,39.06
1,A,21,35.48
1,A,22,38.09
1,A,23,41.54
1,A,24,35.21
1,A,25,37.29
1,A,26,33.31
1,A,27,40.14
1,A,28,36.18
1,A,29,35.42
1,A,30,36.83
1,A,31,40.83
1,A,32,37.57
1,A,33,40.06
1,A,34,38.59
1,A,35,35.91
1,A,36,42.78
1,A,37,40.49
1,A,38,38.41
1,A,39,37.18
1,A,40,39.74
1,A,41,33.81
1,A,42,36.75
1,A,43,37.24
1,A,44,40.73
1,A,45,39.52
1,A,46,36.61
1,A,47,41.9
1,A,48,36.63
1,A,49,39.39
1,A,50,33.23
1,A,51,39.34
1,A,52,46
1,A,53,40.79
1,A,54,36.92
1,A,55,37.58
1,A,56,34.93
1,A,57,33.67
1,A,58,40.63
1,A,59,36.57
1,A,60,44.47
1,B,61,46.75
1,B,62,46.55
1,B,63,40.48
1,B,64,42.79
1,B,65,41.86
1,B,66,35.84
1,B,67,37.93
1,B,68,41.05
1,B,69,42.2
1,B,70,45.61
1,B,71,39.44
1,B,72,38.1
1,B,73,41.74
1,B,74,41.29
1,B,75,38.35
1,B,76,39.69
1,B,77,42.03
1,B,78,44.3
1,B,79,45.08
1,B,80,41.4
1,B,81,44.71
1,B,82,41.59
1,B,83,44.16
1,B,84,42.95
1,B,85,49.67
1,B,86,46.29
1,B,87,39.47
1,B,88,41.65
1,B,89,41.96
1,B,90,42.77
1,B,91,40.29
1,B,92,44.53
1,B,93,43.93
1,B,94,47.6
1,B,95,40.48
1,B,96,43.93
1,B,97,41.78
1,B,98,39.13
1,B,99,47.01
1,B,100,42.7
1,B,101,41.14
1,B,102,44.23
1,B,103,38.92
1,B,104,39.02
1,B,105,40.09
1,B,106,45.96
1,B,107,39.43
1,B,108,40.29
1,B,109,45.61
1,B,110,46.41
1,B,111,43.46
1,B,112,44.95
1,B,113,39.48
1,B,114,45.46
1,B,115,40.71
1,B,116,39.33
1,B,117,47.45
1,B,118,44.43
1,B,119,38.1
1,B,120,39.45
2,A,1,36.17
2,A,2,37.46
2,A,3,34.19
2,A,4,38.32
2,A,5,37.81
2,A,6,35.53
2,A,7,33.34
2,A,8,27.8
2,A,9,34.8
2,A,10,32.34
2,A,11,30.33
2,A,12,37.99
2,A,13,36.31
2,A,14,30.45
2,A,15,34.19
2,A,16,38.6
2,A,17,38.7
2,A,18,34.01
2,A,19,34.57
2,A,20,35.89
2,A,21,35.05
2,A,22,31.22
2,A,23,29.6
2,A,24,35.69
2,A,25,33.02
2,A,26,35.61
