Study,Trt,Cow,Period,FCM
1,A,1,1,25.04
1,B,1,2,26.22
1,C,1,3,28.06
1,B,2,1,31.58
1,C,2,2,32.77
1,A,2,3,24.55
1,C,3,1,29.57
1,A,3,2,23.32
1,B,3,3,21.97
1,A,4,1,29.25
1,B,4,2,31.61
1,C,4,3,34.2
1,B,5,1,28.23
1,C,5,2,25.72
1,A,5,3,19.34
1,C,6,1,32.72
1,A,6,2,26.14
1,B,6,3,24.89
1,A,7,1,24.51
1,B,7,2,21.09
1,C,7,3,26.81
1,B,8,1,31.65
1,C,8,2,33.57
1,A,8,3,21.84
1,C,9,1,39.12
1,A,9,2,28.76
1,B,9,3,29.82
1,A,10,1,23.33
1,B,10,2,27.29
1,C,10,3,29.76
1,B,11,1,32.09
1,C,11,2,32.28
1,A,11,3,23.73
1,C,12,1,27.4
1,A,12,2,19.77
1,B,12,3,21.52
1,A,13,1,31.12
1,B,13,2,32.23
1,C,13,3,34.33
1,B,14,1,33.46
1,C,14,2,34.8
1,A,14,3,26.41
1,C,15,1,36.28
1,A,15,2,26.01
1,B,15,3,27.26
1,A,16,1,34.93
1,B,16,2,38.97
1,C,16,3,39.35
1,B,17,1,28.41
1,C,17,2,29.69
1,A,17,3,20.74
1,C,18,1,34.24
1,A,18,2,26.16
1,B,18,3,28.67
1,A,19,1,27.71
1,B,19,2,30.52
1,C,19,3,28.61
1,B,20,1,31.84
1,C,20,2,32.43
1,A,20,3,22.15
1,C,21,1,40.16
1,A,21,2,30.21
1,B,21,3,33.35
1,A,22,1,29.78
1,B,22,2,32.83
1,C,22,3,33.01
1,B,23,1,30.65
1,C,23,2,33.14
1,A,23,3,23.85
1,C,24,1,40.63
1,A,24,2,27.36
1,B,24,3,31.77
2,A,1,1,35.44
2,B,1,2,38.9
2,C,1,3,39.72
2,B,2,1,38.13
2,C,2,2,36.93
2,A,2,3,35.34
2,C,3,1,31.96
2,A,3,2,27.75
2,B,3,3,33.13
2,A,4,1,31.13
2,B,4,2,31.98
2,C,4,3,32.15
2,B,5,1,28.89
2,C,5,2,28.68
2,A,5,3,27.36
2,C,6,1,39.27
2,A,6,2,31.93
2,B,6,3,34.21
2,A,7,1,29.88
2,B,7,2,27.54
2,C,7,3,30.42
2,B,8,1,34.43
2,C,8,2,35.11
2,A,8,3,30.96
2,C,9,1,30.6
2,A,9,2,26.35
2,B,9,3,27.23
2,A,10,1,30.57
2,B,10,2,28.75
2,C,10,3,33.1
2,B,11,1,31.97
2,C,11,2,31.14
2,A,11,3,31.05
2,C,12,1,24.62
2,A,12,2,20.29
2,B,12,3,24.84
2,A,13,1,31.59
2,B,13,2,36.23
2,C,13,3,31.27
2,B,14,1,28.03
2,C,14,2,25.45
2,A,14,3,27.47
2,C,15,1,33.76
2,A,15,2,29.39
2,B,15,3,30.46
2,A,16,1,30.52
2,B,16,2,25.81
2,C,16,3,26.74
2,B,17,1,31.95
2,C,17,2,31.73
2,A,17,3,30.24
2,C,18,1,35.83
2,A,18,2,32.85
2,B,18,3,32.66
2,A,19,1,26.69
2,B,19,2,24.09
2,C,19,3,29.37
2,B,20,1,24.69
2,C,20,2,28.73
2,A,20,3,22.79
2,C,21,1,28.53
2,A,21,2,22.1
2,B,21,3,22.95
3,A,1,1,31.79
3,B,1,2,25.84
3,C,1,3,34.89
3,B,2,1,24.02
3,C,2,2,31.11
3,A,2,3,30.79
3,C,3,1,28.71
3,A,3,2,26.7
3,B,3,3,24.29
3,A,4,1,23.24
3,B,4,2,19.06
3,C,4,3,24.75
3,B,5,1,21.73
3,C,5,2,27.84
3,A,5,3,27.86
3,C,6,1,28.06
3,A,6,2,24.31
3,B,6,3,26.75
3,A,7,1,29.24
3,B,7,2,23.9
3,C,7,3,32.65
3,B,8,1,31.11
3,C,8,2,33.57
3,A,8,3,35.95
3,C,9,1,30.61
3,A,9,2,25.82
3,B,9,3,26.44
3,A,10,1,28.28
3,B,10,2,26.57
3,C,10,3,31.74
3,B,11,1,17.51
3,C,11,2,22.98
3,A,11,3,24.81
3,C,12,1,28.68
3,A,12,2,26.55
3,B,12,3,23.92
4,A,1,1,25.63
4,B,1,2,26.89
4,C,1,3,29.1
4,B,2,1,32.49
4,C,2,2,32.45
4,A,2,3,31.13
4,C,3,1,32.01
4,A,3,2,30.23
4,B,3,3,29.59
4,A,4,1,27.68
4,B,4,2,27.09
4,C,4,3,31.77
4,B,5,1,23.41
4,C,5,2,25.94
4,A,5,3,25.19
4,C,6,1,29.39
4,A,6,2,29.28
4,B,6,3,30.71
4,A,7,1,31.79
4,B,7,2,28.9
4,C,7,3,31.34
4,B,8,1,27.77
4,C,8,2,31.39
4,A,8,3,26.52
4,C,9,1,34.46
4,A,9,2,32.33
4,B,9,3,33.13
4,A,10,1,34.82
4,B,10,2,35.69
4,C,10,3,35.05
4,B,11,1,26.58
4,C,11,2,27.16
4,A,11,3,28.69
4,C,12,1,31.09
4,A,12,2,28.47
4,B,12,3,30.03
4,A,13,1,27.63
4,B,13,2,26.21
4,C,13,3,30.65
4,B,14,1,30.4
4,C,14,2,28.32
4,A,14,3,29.73
4,C,15,1,28.36
4,A,15,2,28.61
4,B,15,3,26.96
4,A,16,1,35.59
4,B,16,2,36.18
4,C,16,3,38.23
4,B,17,1,32.92
4,C,17,2,31.67
4,A,17,3,33.94
4,C,18,1,27.05
4,A,18,2,28.77
4,B,18,3,30.42
4,A,19,1,30.97
4,B,19,2,27.96
4,C,19,3,32.73
4,B,20,1,25.88
4,C,20,2,27.76
4,A,20,3,26.3
4,C,21,1,27.92
4,A,21,2,31.79
4,B,21,3,30.31
4,A,22,1,26.38
4,B,22,2,26.84
4,C,22,3,28.45
4,B,23,1,32.56
4,C,23,2,29.7
4,A,23,3,33.38
4,C,24,1,32.37
4,A,24,2,31.18
4,B,24,3,32.99
4,A,25,1,31.2
4,B,25,2,32.15
4,C,25,3,30.64
4,B,26,1,29.82
4,C,26,2,26.82
4,A,26,3,28.53
4,C,27,1,36.21
4,A,27,2,33.91
4,B,27,3,33.65
4,A,28,1,33.06
4,B,28,2,31.38
4,C,28,3,35.25
4,B,29,1,26.24
4,C,29,2,28.88
4,A,29,3,30.22
4,C,30,1,30.46
4,A,30,2,29.24
4,B,30,3,31.61
5,A,1,1,29.78
5,B,1,2,35.44
5,C,1,3,32.62
5,B,2,1,29.81
5,C,2,2,31.96
5,A,2,3,30.7
5,C,3,1,27.45
5,A,3,2,25.48
5,B,3,3,28.36
5,A,4,1,22.58
5,B,4,2,25.49
5,C,4,3,25.37
5,B,5,1,30.41
5,C,5,2,29.57
5,A,5,3,27.12
5,C,6,1,30.48
5,A,6,2,27.61
5,B,6,3,32.94
5,A,7,1,28.38
5,B,7,2,32.27
5,C,7,3,30.58
5,B,8,1,33.59
5,C,8,2,34.58
5,A,8,3,31.54
5,C,9,1,33.53
5,A,9,2,27.94
5,B,9,3,32.04
5,A,10,1,27.69
5,B,10,2,29.56
5,C,10,3,33.25
5,B,11,1,24.86
5,C,11,2,24.07
5,A,11,3,22.1
5,C,12,1,31.76
5,A,12,2,26.4
5,B,12,3,28.44
5,A,13,1,24.18
5,B,13,2,26.34
5,C,13,3,26.97
5,B,14,1,28.17
5,C,14,2,30.76
5,A,14,3,26.51
5,C,15,1,25.68
5,A,15,2,22.63
5,B,15,3,24.9
5,A,16,1,27.79
5,B,16,2,26.06
5,C,16,3,32.34
5,B,17,1,28.43
5,C,17,2,31.59
5,A,17,3,29.41
5,C,18,1,26.85
5,A,18,2,26.86
5,B,18,3,28.21
5,A,19,1,24.04
5,B,19,2,23.03
5,C,19,3,26
5,B,20,1,28.46
5,C,20,2,27.74
5,A,20,3,23.59
5,C,21,1,35.18
5,A,21,2,29.54
5,B,21,3,34.31
5,A,22,1,28.26
5,B,22,2,30.06
5,C,22,3,32.99
5,B,23,1,30.06
5,C,23,2,29.24
5,A,23,3,25.73
5,C,24,1,27.59
5,A,24,2,27.13
5,B,24,3,27.78
6,A,1,1,28.49
6,B,1,2,19.54
6,C,1,3,29.98
6,B,2,1,19.21
6,C,2,2,25.17
6,A,2,3,26.71
6,C,3,1,27.47
6,A,3,2,24.7
6,B,3,3,24.4
6,A,4,1,29.61
6,B,4,2,19.54
6,C,4,3,30.23
6,B,5,1,22.61
6,C,5,2,25.91
6,A,5,3,29.47
6,C,6,1,30.38
6,A,6,2,24.34
6,B,6,3,23.5
6,A,7,1,27.99
6,B,7,2,18.1
6,C,7,3,30.82
6,B,8,1,22.51
6,C,8,2,26.4
6,A,8,3,26.41
6,C,9,1,33.53
6,A,9,2,28.49
6,B,9,3,26.35
6,A,10,1,30.78
6,B,10,2,24.58
6,C,10,3,35.12
6,B,11,1,28.35
6,C,11,2,31.9
6,A,11,3,34.45
6,C,12,1,27.66
6,A,12,2,23.49
6,B,12,3,21.05
6,A,13,1,26.26
6,B,13,2,18.78
6,C,13,3,27.61
6,B,14,1,25.68
6,C,14,2,28.87
6,A,14,3,31.23
6,C,15,1,26.91
6,A,15,2,21.7
6,B,15,3,21.71
6,A,16,1,31.61
6,B,16,2,23.37
6,C,16,3,34.2
6,B,17,1,13.35
6,C,17,2,18.9
6,A,17,3,19.86
6,C,18,1,28.17
6,A,18,2,27.95
6,B,18,3,25.96
6,A,19,1,26.83
6,B,19,2,19.23
6,C,19,3,30.18
6,B,20,1,20.78
6,C,20,2,23.86
6,A,20,3,24.45
6,C,21,1,20.04
6,A,21,2,19.15
6,B,21,3,15.96
7,A,1,1,34.09
7,B,1,2,29.31
7,C,1,3,32.9
7,B,2,1,30.46
7,C,2,2,28.99
7,A,2,3,32.83
7,C,3,1,31.16
7,A,3,2,29.07
7,B,3,3,26.24
7,A,4,1,30.34
7,B,4,2,27.94
7,C,4,3,30.18
7,B,5,1,27.98
7,C,5,2,26.65
7,A,5,3,28.66
7,C,6,1,32.63
7,A,6,2,29.45
7,B,6,3,31.62
7,A,7,1,32.13
7,B,7,2,30.4
7,C,7,3,33.74
7,B,8,1,32.11
7,C,8,2,33.3
7,A,8,3,31.81
7,C,9,1,31.67
7,A,9,2,28.36
7,B,9,3,28.33
7,A,10,1,30.96
7,B,10,2,31.92
7,C,10,3,30.86
7,B,11,1,35.9
7,C,11,2,31.73
7,A,11,3,34.79
7,C,12,1,34.83
7,A,12,2,32.79
7,B,12,3,33.22
7,A,13,1,34.44
7,B,13,2,34.17
7,C,13,3,34.24
7,B,14,1,33.9
7,C,14,2,32.87
7,A,14,3,32.36
7,C,15,1,30
7,A,15,2,29.13
7,B,15,3,27.28
7,A,16,1,30.2
7,B,16,2,27.57
7,C,16,3,29.74
7,B,17,1,31.33
7,C,17,2,29
7,A,17,3,29.19
7,C,18,1,32.51
7,A,18,2,33.56
7,B,18,3,28.73
7,A,19,1,34.56
7,B,19,2,31.1
7,C,19,3,33.73
7,B,20,1,28.46
7,C,20,2,27.64
7,A,20,3,29.99
7,C,21,1,33.05
7,A,21,2,29.42
7,B,21,3,30.68
8,A,1,1,23.04
8,B,1,2,29.68
8,C,1,3,21.95
8,B,2,1,26.66
8,C,2,2,27.28
8,A,2,3,24.08
8,C,3,1,21.16
8,A,3,2,28.19
8,B,3,3,30.26
8,A,4,1,15
8,B,4,2,29.5
8,C,4,3,19.61
8,B,5,1,30.71
8,C,5,2,31.12
8,A,5,3,27.79
8,C,6,1,19.07
8,A,6,2,25.75
8,B,6,3,29.3
8,A,7,1,15.67
8,B,7,2,25.44
8,C,7,3,16.55
8,B,8,1,30.48
8,C,8,2,29.48
8,A,8,3,25.15
8,C,9,1,23.18
8,A,9,2,26.76
8,B,9,3,31.9
8,A,10,1,21.62
8,B,10,2,31.83
8,C,10,3,22.91
8,B,11,1,24.48
8,C,11,2,22.33
8,A,11,3,19.36
8,C,12,1,22.83
8,A,12,2,25.42
8,B,12,3,29.52
8,A,13,1,24.38
8,B,13,2,34.82
8,C,13,3,26.35
8,B,14,1,27.93
8,C,14,2,30.31
8,A,14,3,24.55
8,C,15,1,21.24
8,A,15,2,27.53
8,B,15,3,29.87
9,A,1,1,33.02
9,B,1,2,30.69
9,C,1,3,23.28
9,B,2,1,31.67
9,C,2,2,28.9
9,A,2,3,28.56
9,C,3,1,32.72
9,A,3,2,32.37
9,B,3,3,29.86
9,A,4,1,30.21
9,B,4,2,31.36
9,C,4,3,23.24
9,B,5,1,35.78
9,C,5,2,29.4
9,A,5,3,29.87
9,C,6,1,29.57
9,A,6,2,34.16
9,B,6,3,28.51
9,A,7,1,27.82
9,B,7,2,28.37
9,C,7,3,19.05
9,B,8,1,35.04
9,C,8,2,30.74
9,A,8,3,29.97
9,C,9,1,25.65
9,A,9,2,28.3
9,B,9,3,26.11
9,A,10,1,32.88
9,B,10,2,28.74
9,C,10,3,20.55
9,B,11,1,31.24
9,C,11,2,26.62
